,train,val,test
0,Pancalyze_HE_2_H-7,Pancalyze_HE_4_A-9,Pancalyze_HE_4_F-5
1,Pancalyze_HE_2_H-8,Pancalyze_HE_4_A-10,Pancalyze_HE_4_F-6
2,Pancalyze_HE_2_H-9,Pancalyze_HE_4_D-5,Pancalyze_HE_1_B-3
3,Pancalyze_HE_2_H-10,Pancalyze_HE_4_D-6,Pancalyze_HE_1_B-4
4,Pancalyze_HE_2_H-11,Pancalyze_HE_9_G-11,Pancalyze_HE_7_B-7
5,Pancalyze_HE_2_H-12,Pancalyze_HE_9_G-12,Pancalyze_HE_7_B-8
6,Pancalyze_HE_3_A-1,Pancalyze_HE_8_B-1,Pancalyze_HE_5_C-9
7,Pancalyze_HE_3_A-2,Pancalyze_HE_8_B-2,Pancalyze_HE_5_C-10
8,Pancalyze_HE_3_A-7,Pancalyze_HE_7_D-3,Pancalyze_HE_3_C-1
9,Pancalyze_HE_3_A-8,Pancalyze_HE_7_D-4,Pancalyze_HE_3_C-2
10,Pancalyze_HE_3_A-9,Pancalyze_HE_9_D-9,Pancalyze_HE_8_B-3
11,Pancalyze_HE_3_A-10,Pancalyze_HE_9_D-10,Pancalyze_HE_8_B-4
12,Pancalyze_HE_3_B-3,Pancalyze_HE_5_H-2,Pancalyze_HE_2_F-1
13,Pancalyze_HE_3_B-4,Pancalyze_HE_4_B-7,Pancalyze_HE_2_F-2
14,Pancalyze_HE_3_B-7,Pancalyze_HE_4_B-8,Pancalyze_HE_3_E-11
15,Pancalyze_HE_3_B-8,Pancalyze_HE_7_C-1,Pancalyze_HE_3_E-12
16,Pancalyze_HE_3_C-5,Pancalyze_HE_7_C-2,Pancalyze_HE_9_F-5
17,Pancalyze_HE_3_C-6,Pancalyze_HE_5_C-1,Pancalyze_HE_9_F-6
18,Pancalyze_HE_3_C-11,Pancalyze_HE_5_C-2,Pancalyze_HE_2_D-5
19,Pancalyze_HE_3_C-12,Pancalyze_HE_7_F-4,Pancalyze_HE_2_D-6
20,Pancalyze_HE_3_D-9,Pancalyze_HE_7_C-7,Pancalyze_HE_1_B-1
21,Pancalyze_HE_3_D-10,Pancalyze_HE_7_C-8,Pancalyze_HE_1_B-2
22,Pancalyze_HE_3_E-7,Pancalyze_HE_7_C-9,Pancalyze_HE_3_E-5
23,Pancalyze_HE_3_E-8,Pancalyze_HE_7_C-10,Pancalyze_HE_3_E-6
24,Pancalyze_HE_3_F-1,Pancalyze_HE_1_D-7,Pancalyze_HE_8_B-9
25,Pancalyze_HE_3_F-2,Pancalyze_HE_1_D-8,Pancalyze_HE_4_D-11
26,Pancalyze_HE_3_F-7,Pancalyze_HE_4_E-11,Pancalyze_HE_4_D-12
27,Pancalyze_HE_3_F-8,Pancalyze_HE_4_E-12,Pancalyze_HE_5_E-9
28,Pancalyze_HE_3_G-5,Pancalyze_HE_9_H-1,Pancalyze_HE_5_E-10
29,Pancalyze_HE_3_G-6,Pancalyze_HE_9_H-2,Pancalyze_HE_6_A-3
30,Pancalyze_HE_3_G-9,Pancalyze_HE_1_H-5,Pancalyze_HE_6_A-4
31,Pancalyze_HE_3_G-10,Pancalyze_HE_1_H-6,Pancalyze_HE_8_H-6
32,Pancalyze_HE_3_G-11,Pancalyze_HE_2_A-1,Pancalyze_HE_5_H-5
33,Pancalyze_HE_3_G-12,Pancalyze_HE_2_A-2,Pancalyze_HE_5_H-6
34,Pancalyze_HE_3_H-1,Pancalyze_HE_3_H-3,Pancalyze_HE_5_H-7
35,Pancalyze_HE_3_H-2,Pancalyze_HE_3_H-4,Pancalyze_HE_5_H-8
36,Pancalyze_HE_3_H-9,Pancalyze_HE_8_C-9,Pancalyze_HE_8_D-1
37,Pancalyze_HE_3_H-10,Pancalyze_HE_8_C-10,Pancalyze_HE_8_D-2
38,Pancalyze_HE_4_A-7,Pancalyze_HE_3_G-3,Pancalyze_HE_6_F-11
39,Pancalyze_HE_4_A-8,Pancalyze_HE_3_G-4,Pancalyze_HE_6_F-12
40,Pancalyze_HE_4_A-11,Pancalyze_HE_1_D-11,Pancalyze_HE_4_H-3
41,Pancalyze_HE_4_A-12,Pancalyze_HE_1_D-12,Pancalyze_HE_4_H-4
42,Pancalyze_HE_4_B-1,Pancalyze_HE_9_B-5,Pancalyze_HE_9_A-9
43,Pancalyze_HE_4_B-2,Pancalyze_HE_9_B-6,Pancalyze_HE_9_A-10
44,Pancalyze_HE_4_B-11,Pancalyze_HE_9_B-7,Pancalyze_HE_9_A-11
45,Pancalyze_HE_4_B-12,Pancalyze_HE_9_B-8,Pancalyze_HE_9_A-12
46,Pancalyze_HE_6_A-5,Pancalyze_HE_2_E-9,Pancalyze_HE_3_B-11
47,Pancalyze_HE_6_A-6,Pancalyze_HE_2_E-10,Pancalyze_HE_3_B-12
48,Pancalyze_HE_6_A-7,Pancalyze_HE_3_F-5,Pancalyze_HE_1_F-11
49,Pancalyze_HE_6_A-8,Pancalyze_HE_3_F-6,Pancalyze_HE_1_F-12
50,Pancalyze_HE_6_B-5,Pancalyze_HE_6_G-5,Pancalyze_HE_3_D-7
