,train,val,test
101 15.26180 1.1,True,False,False
101 15.26180 2.1,True,False,False
101 15.26180 2.2,True,False,False
102 15.33190 2.2,True,False,False
102 15.33190 1.1,True,False,False
102 15.33190 2.1,True,False,False
103 16.42314 1.1,True,False,False
103 16.42314 2.1,True,False,False
104 15.35338 1.1,True,False,False
104 15.35338 2.2,True,False,False
104 15.35338 2.1,True,False,False
107 16.31191 1.1,True,False,False
107 16.31191 2.1,True,False,False
108 15.41146 1.1,True,False,False
108 15.41146 2.2,True,False,False
108 15.41146 2.1,True,False,False
111 17.29020 4F2,True,False,False
111 17.29020 4d2,True,False,False
113 9698 7W,True,False,False
113 9698 7R,True,False,False
118 17.27933 5a1,True,False,False
118 17.27933 5J3,True,False,False
131 14.13102 G,True,False,False
132 14.9816 F,True,False,False
132 14.9816 M,True,False,False
134 15.5812 K,True,False,False
134 15.5812 NS4,True,False,False
138 T1,True,False,False
138 N1,True,False,False
144 T1,True,False,False
144 N1,True,False,False
148 N1,True,False,False
148 T1,True,False,False
152 T3,True,False,False
152 T2,True,False,False
152 N1,True,False,False
152 T1,True,False,False
152 N2,True,False,False
160 T3,True,False,False
160 N1,True,False,False
160 T2,True,False,False
160 T1,True,False,False
161 N1,True,False,False
161 T5,True,False,False
161 T2,True,False,False
161 N5,True,False,False
161 N2,True,False,False
161 T3,True,False,False
161 T4,True,False,False
161 N3,True,False,False
161 T1,True,False,False
161 N6,True,False,False
161 N7,True,False,False
161 N4,True,False,False
165 T1,True,False,False
165 N1,True,False,False
167 T5,True,False,False
167 T2,True,False,False
167 T3,True,False,False
167 N1,True,False,False
167 T1,True,False,False
167 N3,True,False,False
167 T4,True,False,False
167 N2,True,False,False
171 T1,True,False,False
171 N1,True,False,False
171 N2,True,False,False
171 T2,True,False,False
172 N1,True,False,False
172 T1,True,False,False
173 T1,True,False,False
173 N1,True,False,False
173 T2,True,False,False
178 N1,True,False,False
178 T1,True,False,False
179 T1,True,False,False
179 N1,True,False,False
180 N1,True,False,False
180 T1,True,False,False
180 N2,True,False,False
180 T2,True,False,False
181 T1,True,False,False
181 N1,True,False,False
184 N1,True,False,False
184 T2,True,False,False
184 T1,True,False,False
187 T1,True,False,False
187 N1,True,False,False
198 T1,True,False,False
198 N1,True,False,False
199 N1,True,False,False
199 T1,True,False,False
200 T1,True,False,False
200 N1,True,False,False
206 T1,True,False,False
206 N1,True,False,False
212 N1,True,False,False
212 T1,True,False,False
213 T1,True,False,False
213 N1,True,False,False
218 N1,True,False,False
218 T1,True,False,False
218 N2,True,False,False
218 T2,True,False,False
21 H 15.10971 1.2,True,False,False
21 H 15.10971 1.1,True,False,False
21 15.10971 2.1,True,False,False
21 15.10971 2.2,True,False,False
223 T1,True,False,False
224 T1,True,False,False
224 N1,True,False,False
225 T1,True,False,False
225 N1,True,False,False
228 T1,True,False,False
228 N1,True,False,False
22 15.11592 2.2,True,False,False
22 15.11592 2.1,True,False,False
22 15.11592 1.1,True,False,False
22 15.11592 1.2,True,False,False
230 T2,True,False,False
230 T1,True,False,False
236 T1,True,False,False
238 T1,True,False,False
238 N1,True,False,False
239 T1,True,False,False
241 T1,True,False,False
247 T1,True,False,False
247 N1,True,False,False
248 T2,True,False,False
248 N1,True,False,False
24 15.6839 1.1,True,False,False
24 15.6839 2.1,True,False,False
251 T2,True,False,False
251 T1,True,False,False
253 T1,True,False,False
253 N1,True,False,False
256 N1,True,False,False
256 T1,True,False,False
261 N1,True,False,False
261 T1,True,False,False
265 T1,True,False,False
265 N1,True,False,False
270 T1,True,False,False
270 N1,True,False,False
273 T1,True,False,False
273 N1,True,False,False
280 N1,True,False,False
281 T1,True,False,False
281 N1,True,False,False
283 N1,True,False,False
