,train,val,test
0,102 15.33190 2.2,2 15.4379 T1,65 15.11578 e1
1,102 15.33190 1.1,2 15.4379 T4,65 15.11578 d1
2,102 15.33190 2.1,2 15.4379 T2,184 N1
3,103 16.42314 1.1,2 15.4379 T3,184 T2
4,103 16.42314 2.1,187 T1,184 T1
5,104 15.35338 1.1,187 N1,324 N1
6,104 15.35338 2.2,138 T1,324 T1
7,104 15.35338 2.1,138 N1,257 T1
8,108 15.41146 1.1,107 16.31191 1.1,257 N1
9,108 15.41146 2.2,107 16.31191 2.1,C 16.26859 2D he_090846
10,108 15.41146 2.1,182 N1,51 15.3445 TM
11,111 17.29020 4F2,182 T1,51 15.3445 normal
12,111 17.29020 4d2,60 15.8584 ba,37 17.2311 1 TM
13,113 9698 7W,60 15.8584 8C,37 17.2311 1 normal
14,113 9698 7R,54 15.5286 c49,148 N1
15,116 H 17.9754 1.1,54 15.5286 C66,148 T1
16,116 H 17.9754 2.2,54 15.5286 C76,191 T1
17,116 H 17.9754 1.2,49 15.2000 c1,191 N1
18,116 H 17.9754 2.1,49 15.2000 b2,251 T2
19,118 17.27933 5a1,101 15.26180 1.1,251 T1
20,118 17.27933 5J3,101 15.26180 2.1,273 T1
21,122 H 17.15235 N,101 15.26180 2.2,273 N1
22,122 H 17.15235 T,223 T1,281 T1
23,127 14.9683 F,274 N1,281 N1
24,127 14.9683 A,274 T1,7 15.3729 1.1
25,131 14.13102 G,C 16.19508 2B he_094020,7 15.3729 1.2
26,132 14.9816 F,C 16.19508 2A he_094432,7 H 15.3729 2.1 T1
27,132 14.9816 M,C 17.20195 2A he_041300,7 H 15.3729 2.2 T2
28,134 15.5812 K,C 17.20195 2B he_041650,7 15.3729 2.2
29,134 15.5812 NS4,C 17.20195 2C he_040509,7 15.3729 2.1
30,135 16.3496 J,C 17.20195 2E he_040917,62 15.14428 4A
31,135 16.3496 A,C 17.35942 2A he_021245,62 15.14428 normal
32,144 T1,C 17.35942 2F he_020604,147 T2
33,144 N1,C 17.35942 2B he_020907,147 N2
34,146 T3,185 N1,147 T1
35,146 T1,185 T1,147 N1
36,146 N1,C 17.22002 2C he_035726,179 T1
37,146 T2,C 17.22002 2B he_040117,179 N1
38,146 N2,298 N1,C 17.12297 2B1 he_053936
